,League Champion,Most Valuable Player,Rookie of the Year,PPG Leader,RPG Leader,APG Leader,Win Share Leader,Year
0,Boston Celtics,Larry Bird,Ralph Sampson,Adrian Dantley,Moses Malone,Magic Johnson,Adrian Dantley,1984
1,Los Angeles Lakers,Larry Bird,Michael Jordan,Bernard King,Moses Malone,Isiah Thomas,Larry Bird,1985
2,Boston Celtics,Larry Bird,Patrick Ewing,Dominique Wilkins,Bill Laimbeer,Magic Johnson,Larry Bird,1986
3,Los Angeles Lakers,Magic Johnson,Chuck Person,Michael Jordan,Charles Barkley,Magic Johnson,Michael Jordan,1987
4,Los Angeles Lakers,Michael Jordan,Mark Jackson,Michael Jordan,Michael Cage,John Stockton,Michael Jordan,1988
5,Detroit Pistons,Magic Johnson,Mitch Richmond,Michael Jordan,Hakeem Olajuwon,John Stockton,Michael Jordan,1989
6,Detroit Pistons,Magic Johnson,David Robinson,Michael Jordan,Hakeem Olajuwon,John Stockton,Michael Jordan,1990
7,Chicago Bulls,Michael Jordan,Derrick Coleman,Michael Jordan,David Robinson,John Stockton,Michael Jordan,1991
8,Chicago Bulls,Michael Jordan,Larry Johnson,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan,1992
9,Chicago Bulls,Charles Barkley,Shaquille O'Neal,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan,1993
10,Houston Rockets,Hakeem Olajuwon,Chris Webber,David Robinson,Dennis Rodman,John Stockton,David Robinson,1994
11,Houston Rockets,David Robinson,Grant Hill,Shaquille O'Neal,Dennis Rodman,John Stockton,David Robinson,1995
12,Chicago Bulls,Michael Jordan,Damon Stoudamire,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan,1996
13,Chicago Bulls,Karl Malone,Allen Iverson,Michael Jordan,Dennis Rodman,Mark Jackson,Michael Jordan,1997
14,Chicago Bulls,Michael Jordan,Tim Duncan,Michael Jordan,Dennis Rodman,Rod Strickland,Karl Malone,1998
15,San Antonio Spurs,Karl Malone,Vince Carter,Allen Iverson,Chris Webber,Jason Kidd,Karl Malone,1999
16,Los Angeles Lakers,Shaquille O'Neal,Elton Brand,Shaquille O'Neal,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal,2000
17,Los Angeles Lakers,Allen Iverson,Mike Miller,Allen Iverson,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal,2001
18,Los Angeles Lakers,Tim Duncan,Pau Gasol,Allen Iverson,Ben Wallace,Andre Miller,Tim Duncan,2002
19,San Antonio Spurs,Tim Duncan,Amar'e Stoudemire,Tracy McGrady,Ben Wallace,Jason Kidd,Tim Duncan,2003
20,Detroit Pistons,Kevin Garnett,LeBron James,Tracy McGrady,Kevin Garnett,Jason Kidd,Kevin Garnett,2004
21,San Antonio Spurs,Steve Nash,Emeka Okafor,Allen Iverson,Kevin Garnett,Steve Nash,Kevin Garnett,2005
22,Miami Heat,Steve Nash,Chris Paul,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki,2006
23,San Antonio Spurs,Dirk Nowitzki,Brandon Roy,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki,2007
24,Boston Celtics,Kobe Bryant,Kevin Durant,LeBron James,Dwight Howard,Chris Paul,Chris Paul,2008
25,Los Angeles Lakers,LeBron James,Derrick Rose,Dwyane Wade,Dwight Howard,Chris Paul,LeBron James,2009
26,Los Angeles Lakers,LeBron James,Tyreke Evans,Kevin Durant,Dwight Howard,Steve Nash,LeBron James,2010
27,Dallas Mavericks,Derrick Rose,Blake Griffin,Kevin Durant,Kevin Love,Steve Nash,LeBron James,2011
28,Miami Heat,LeBron James,Kyrie Irving,Kevin Durant,Dwight Howard,Rajon Rondo,LeBron James,2012
29,Miami Heat,LeBron James,Damian Lillard,Carmelo Anthony,Dwight Howard,Rajon Rondo,LeBron James,2013
30,San Antonio Spurs,Kevin Durant,Michael Carter-Williams,Kevin Durant,DeAndre Jordan,Chris Paul,Kevin Durant,2014
31,Golden State Warriors,Stephen Curry,Andrew Wiggins,Russell Westbrook,DeAndre Jordan,Chris Paul,James Harden,2015
32,Cleveland Cavaliers,Stephen Curry,Karl-Anthony Towns,Stephen Curry,Andre Drummond,Rajon Rondo,Stephen Curry,2016
33,Golden State Warriors,Russell Westbrook,Malcolm Brogdon,Russell Westbrook,Hassan Whiteside,James Harden,James Harden,2017
34,Golden State Warriors,James Harden,Ben Simmons,James Harden,Andre Drummond,Russell Westbrook,James Harden,2018
35,Toronto Raptors,Giannis Antetokounmpo,Luka Dončić,James Harden,Andre Drummond,Russell Westbrook,James Harden,2019
36,Los Angeles Lakers,Giannis Antetokounmpo,Ja Morant,James Harden,Andre Drummond,LeBron James,James Harden,2020
37,Milwaukee Bucks,Nikola Jokić,LaMelo Ball,Stephen Curry,Clint Capela,Russell Westbrook,Nikola Jokić,2021
38,Golden State Warriors,Nikola Jokić,Scottie Barnes,Joel Embiid,Rudy Gobert,Chris Paul,Nikola Jokić,2022
39,Denver Nuggets,Joel Embiid,Paolo Banchero,Joel Embiid,Domantas Sabonis,James Harden,Nikola Jokić,2023
